seed	genes
PLXNA1	VARS
PLXNA1	SIAE
AKT2	AKT2
AKT2	KIF1BP
AKT2	DOK2
AKT2	OFD1
AKT2	RAB6A
AKT2	PLEKHO1
AKT2	PNKD
ETS2	ETS2
ETS2	E2F6
ETS2	EED
ETS2	CSNK2B
ETS2	NFKBIA
ETS2	VARS
ETS2	PDS5A
ETS2	ZMYND11
SHANK2	SHANK2
SHANK2	EGFR
SHANK2	HSPA1A
SHANK2	VARS
SHANK2	HSPA1B
SHANK2	HSPA1L
SHANK2	AAMP
CTTN	CTTN
CTTN	CLIC1
CTTN	MYC
CTTN	HSPA1A
CTTN	ARPC2
CTTN	PLEC
CTTN	PPP1R12A
CTTN	MYO18A
SNW1	SNW1
SNW1	CLIC1
SNW1	MYC
SNW1	HSPA1A
SNW1	FEN1
SNW1	VARS
SNW1	PSMA5
SNW1	HSPA1L
NRAS	NRAS
NRAS	STX3
NRAS	LNPEP
NRAS	FBXO31
NRAS	EHBP1L1
NRAS	SLC4A7
GLMN	GLMN
GLMN	HSPA1A
GLMN	RBX1
GLMN	SCARB2
GLMN	PNKD
GLMN	HSPA1L
KDM5B	KDM5B
KDM5B	CLIC1
KDM5B	MYC
KDM5B	HSPA1A
KDM5B	VARS
KDM5B	PSMA5
KDM5B	HSPA1L
REL	REL
REL	LSM2
REL	CSNK2B
REL	NFKBIA
REL	PDS5A
REL	MIEN1
FLT1	FLT1
FLT1	CLIC1
FLT1	VASP
FLT1	SEMA4D
FLT1	PGF
FLT1	PSMA5
FLT1	SLC25A17
FLT1	SCGB2A2
FLT1	SEMA3C
OPRD1	OPRD1
OPRD1	SIAH2
OPRD1	ARPC2
OPRD1	PLEC
OPRD1	PPP1R12A
OPRD1	MYO18A
MYO1C	MYO1C
MYO1C	CLIC1
MYO1C	MYC
MYO1C	TIMM13
MYO1C	HSPA1A
MYO1C	ARPC2
MYO1C	PPP1R12A
MYO1C	MYO18A
RAP1GDS1	RAP1GDS1
RAP1GDS1	CLIC1
RAP1GDS1	MYC
RAP1GDS1	HSPA1A
RAP1GDS1	VARS
RAP1GDS1	HSPA1L
RAP1GDS1	DNAJB7
PAX5	RELA
PAX5	PAX5
PAX5	DAXX
PAX5	CSNK2B
PAX5	NFKBIA
PAX5	HSPA1A
PAX5	HSPA1L
PAX5	PNMT
KALRN	KALRN
KALRN	SORT1
KALRN	TIMM13
KALRN	DICER1
KALRN	PNKD
KALRN	AAMP
PIK3R3	PIK3R3
PIK3R3	ERBB2
PIK3R3	GRB7
PIK3R3	CHN1
PIK3R3	RELT
PIK3R3	LY6G6F
LSM8	LSM8
LSM8	DCP1A
LSM8	LSM2
LSM8	CDK5RAP3
LSM8	HSPA1A
LSM8	CRMP1
LSM8	HSPA1L
SNX17	SNX17
SNX17	CLIC1
SNX17	MYC
SNX17	HSPA1A
SNX17	VARS
SNX17	PSMA5
SNX17	HSPA1L
PKD1	RELA
PKD1	PKD1
PKD1	CSNK2B
PKD1	NFKBIA
PKD1	HSPA1A
PKD1	COL2A1
PKD1	HSPA1L
PKD1	PNMT
PKD2	PKD2
PKD2	CLIC1
PKD2	MYC
PKD2	HSPA1A
PKD2	EXOC3
PKD2	VARS
PKD2	PSMA5
PKD2	HSPA1L
KCNA4	KCNA4
KCNA4	CLIC1
KCNA4	MYC
KCNA4	HSPA1A
KCNA4	NEU1
KCNA4	VARS
KCNA4	RMND5A
KCNA4	HSPA1L
KCNA4	DNAJB7
PFN2	PFN2
PFN2	CLIC1
PFN2	VASP
PFN2	MYC
PFN2	HSPA1A
PFN2	VARS
PFN2	PSMA5
PFN2	HSPA1L
HUS1	HUS1
HUS1	CLIC1
